,0,1,2,3,4,5,6,7,8,9
Unnamed: 0,CD120A-TNFRSF1A-AHS0439-pAbO,CD120b-TNFRSF1B-AHS0421-pAbO,CD14:MPHIP9-CD14-AHS0037-pAbO,CD16:B73.1-FCGR3A-FCGR3B-AHS0242-pAbO,CD19:HIB19-CD19-AHS0161-pAbO,CD45RA:HI100-PTPRC-AHS0009-pAbO,CD45RO-PTPRC-AHS0036-pAbO,CD4:SK3-CD4-AHS0032-pAbO,CD56:NCAM16.2-NCAM1-AHS0019-pAbO,CD8:SK1-CD8A-AHS0228-pAbO
Group_PBMCs_Sample_PBMCs.1_3794,4,44,0,7,9,524,4,13,1,1875
Group_PBMCs_Sample_PBMCs.1_54922,13,380,30,2395,7,574,11,505,3,21
Group_PBMCs_Sample_PBMCs.1_68296,4,208,0,386,10,202,2,20,72,171
Group_PBMCs_Sample_PBMCs.1_97680,3,70,2,573,6,163,5,20,55,11
Group_PBMCs_Sample_PBMCs.1_121103,8,97,8,121,8,91,8,10,89,423
Group_PBMCs_Sample_PBMCs.1_127633,0,44,5,315,13,205,2,10,200,208
Group_PBMCs_Sample_PBMCs.1_181828,8,8,11,21,11,226,12,2320,3,13
Group_PBMCs_Sample_PBMCs.1_201636,2,71,3,5,8,12,29,2828,1,10
Group_PBMCs_Sample_PBMCs.1_243955,1,7,2,5,284,103,4,9,1,6
Group_PBMCs_Sample_PBMCs.1_282692,8,23,3,177,4,409,8,43,86,99
Group_PBMCs_Sample_PBMCs.1_294188,12,407,64,13,7,109,5,32,4,5
Group_PBMCs_Sample_PBMCs.1_319215,1,48,1,7,1,2,70,1682,0,4
Group_PBMCs_Sample_PBMCs.1_324956,6,78,5,13,3,75,8,10,2,1692
Group_PBMCs_Sample_PBMCs.1_327948,0,68,3,440,6,233,2,6,4,5
Group_PBMCs_Sample_PBMCs.1_405104,0,1,2,2,134,51,2,3,1,0
Group_PBMCs_Sample_PBMCs.1_414604,1,5,4,12,2,8,12,1356,1,10
Group_PBMCs_Sample_PBMCs.1_418375,2,44,1,4,1,23,20,16,1,1687
Group_PBMCs_Sample_PBMCs.1_501731,3,18,14,18,14,17,30,3261,1,5
Group_PBMCs_Sample_PBMCs.1_507453,2,11,4,9,16,145,4,1589,0,11
Group_PBMCs_Sample_PBMCs.1_547129,1,15,2,4,10,51,10,2933,1,5
Group_PBMCs_Sample_PBMCs.1_554644,2,39,4,7,2,3,17,947,0,3
Group_PBMCs_Sample_PBMCs.1_591445,2,100,1,3,5,6,89,3301,1,2
Group_PBMCs_Sample_PBMCs.1_594101,0,2,0,8,8,201,1,3249,2,6
Group_PBMCs_Sample_PBMCs.1_642092,3,97,3,279,3,82,3,12,104,6
Group_PBMCs_Sample_PBMCs.1_671264,1,87,0,296,2,157,9,16,82,3
Group_PBMCs_Sample_PBMCs.1_680824,2,173,2,4,8,5,40,9,5,1559
Group_PBMCs_Sample_PBMCs.1_682465,1,10,1,9,6,84,3,3627,1,5
Group_PBMCs_Sample_PBMCs.1_687403,3,179,1,666,3,303,2,18,46,76
Group_PBMCs_Sample_PBMCs.1_706119,2,26,4,453,5,85,3,16,23,20
Group_PBMCs_Sample_PBMCs.1_707502,1,2,9,8,7,196,6,2479,0,6
Group_PBMCs_Sample_PBMCs.1_734949,1,77,2,4,4,3,126,2554,0,3
Group_PBMCs_Sample_PBMCs.1_762235,5,57,1,302,4,246,0,8,37,5
Group_PBMCs_Sample_PBMCs.1_774724,1,5,2,6,5,1,46,1669,2,9
Group_PBMCs_Sample_PBMCs.1_815597,1,78,3,5,4,303,0,4,74,584
Group_PBMCs_Sample_PBMCs.1_820174,1,27,2,9,2,2,86,1832,1,7
Group_PBMCs_Sample_PBMCs.1_866969,13,113,5,601,15,94,28,7,74,13
Group_PBMCs_Sample_PBMCs.1_900659,5,70,4,6,3,312,117,4006,1,1353
Group_PBMCs_Sample_PBMCs.1_922790,4,53,3,6,5,5,13,10,35,810
Group_PBMCs_Sample_PBMCs.1_924334,2,90,3,11,3,1,49,1078,4,4
Group_PBMCs_Sample_PBMCs.1_943698,1,121,5,557,2,255,6,14,76,7
Group_PBMCs_Sample_PBMCs.1_981522,3,55,4,4,5,3,24,7,34,423
Group_PBMCs_Sample_PBMCs.1_1016176,1,17,2,70,2,38,3,9,8,2
Group_PBMCs_Sample_PBMCs.1_1023386,2,7,2,9,8,3,47,1725,2,7
Group_PBMCs_Sample_PBMCs.1_1031734,0,197,2,1,9,6,16,13,2,24
Group_PBMCs_Sample_PBMCs.1_1035202,2,79,2,354,5,127,2,63,51,7
Group_PBMCs_Sample_PBMCs.1_1068595,1,20,3,9,752,207,5,23,2,8
Group_PBMCs_Sample_PBMCs.1_1073265,3,5,0,3,1,3,32,2914,0,3
Group_PBMCs_Sample_PBMCs.1_1090893,1,76,2,2,3,185,2,10,2,982
Group_PBMCs_Sample_PBMCs.1_1126410,0,6,4,6,4,182,5,2141,3,4
Group_PBMCs_Sample_PBMCs.1_1131253,20,33,2,8,6,1,58,1620,1,4
Group_PBMCs_Sample_PBMCs.1_1178649,0,11,0,56,2,26,4,5,33,33
