"","geneSet"
"Group_PBMCs_Sample_PBMCs 1_3794",0.0759934548854605
"Group_PBMCs_Sample_PBMCs 1_54922",0.209373539036933
"Group_PBMCs_Sample_PBMCs 1_68296",0.019588592800374
"Group_PBMCs_Sample_PBMCs 1_97680",0.103553062178588
"Group_PBMCs_Sample_PBMCs 1_121103",0.0672978027115474
"Group_PBMCs_Sample_PBMCs 1_127633",0.064726507713885
"Group_PBMCs_Sample_PBMCs 1_181828",0.0417251051893408
"Group_PBMCs_Sample_PBMCs 1_201636",0.135179990649836
"Group_PBMCs_Sample_PBMCs 1_243955",0.0620383356708742
"Group_PBMCs_Sample_PBMCs 1_282692",0.0659654043945769
"Group_PBMCs_Sample_PBMCs 1_294188",0.196376811594203
"Group_PBMCs_Sample_PBMCs 1_319215",0.0770219728845255
"Group_PBMCs_Sample_PBMCs 1_324956",0.0974053295932679
"Group_PBMCs_Sample_PBMCs 1_327948",0.0920056100981767
"Group_PBMCs_Sample_PBMCs 1_405104",0.10549322113137
"Group_PBMCs_Sample_PBMCs 1_414604",0.0601215521271622
"Group_PBMCs_Sample_PBMCs 1_418375",0.0873772791023843
"Group_PBMCs_Sample_PBMCs 1_501731",0.0661290322580645
"Group_PBMCs_Sample_PBMCs 1_507453",0.0774193548387097
"Group_PBMCs_Sample_PBMCs 1_547129",0.058765778401122
"Group_PBMCs_Sample_PBMCs 1_554644",0.0938756428237494
"Group_PBMCs_Sample_PBMCs 1_591445",0.0376577840112202
"Group_PBMCs_Sample_PBMCs 1_594101",0.133239831697055
"Group_PBMCs_Sample_PBMCs 1_642092",0.104862085086489
"Group_PBMCs_Sample_PBMCs 1_671264",0.0557035998129967
"Group_PBMCs_Sample_PBMCs 1_680824",0.0917484805984105
"Group_PBMCs_Sample_PBMCs 1_682465",0.00198690977092099
"Group_PBMCs_Sample_PBMCs 1_687403",0.0563581112669472
"Group_PBMCs_Sample_PBMCs 1_706119",0.0541841982234689
"Group_PBMCs_Sample_PBMCs 1_707502",0.0850397381954184
"Group_PBMCs_Sample_PBMCs 1_734949",0.0776531089294063
"Group_PBMCs_Sample_PBMCs 1_762235",0.105049088359046
"Group_PBMCs_Sample_PBMCs 1_774724",0.0194483403459561
"Group_PBMCs_Sample_PBMCs 1_815597",0.0875642823749416
"Group_PBMCs_Sample_PBMCs 1_820174",0.0554932211313698
"Group_PBMCs_Sample_PBMCs 1_866969",0.118817204301075
"Group_PBMCs_Sample_PBMCs 1_900659",0.111991584852735
"Group_PBMCs_Sample_PBMCs 1_922790",0.131743805516597
"Group_PBMCs_Sample_PBMCs 1_924334",0.0426133707339878
"Group_PBMCs_Sample_PBMCs 1_943698",0.0974754558204769
"Group_PBMCs_Sample_PBMCs 1_981522",0.0766012155212716
"Group_PBMCs_Sample_PBMCs 1_1016176",0.0735156615240767
"Group_PBMCs_Sample_PBMCs 1_1023386",0.0797802711547452
"Group_PBMCs_Sample_PBMCs 1_1031734",0.082258064516129
"Group_PBMCs_Sample_PBMCs 1_1035202",0.0936652641421225
"Group_PBMCs_Sample_PBMCs 1_1068595",0.138218793828892
"Group_PBMCs_Sample_PBMCs 1_1073265",0.0933613838242169
"Group_PBMCs_Sample_PBMCs 1_1090893",0.0593501636278635
"Group_PBMCs_Sample_PBMCs 1_1126410",0.132702197288453
"Group_PBMCs_Sample_PBMCs 1_1131253",0.0479195885928004
"Group_PBMCs_Sample_PBMCs 1_1178649",0.111360448807854
"Group_PBMCs_Sample_PBMCs 1_1198653",0.333333333333333
"Group_PBMCs_Sample_PBMCs 1_1208699",0.0362085086489014
"Group_PBMCs_Sample_PBMCs 1_1219704",0.096236559139785
"Group_PBMCs_Sample_PBMCs 1_1245215",0.04109396914446
"Group_PBMCs_Sample_PBMCs 1_1269713",0.0681626928471248
"Group_PBMCs_Sample_PBMCs 1_1285849",0.0841982234689107
"Group_PBMCs_Sample_PBMCs 1_1334784",0.108064516129032
"Group_PBMCs_Sample_PBMCs 1_1368414",0.171365123889668
"Group_PBMCs_Sample_PBMCs 1_1369250",0.0922393641888733
"Group_PBMCs_Sample_PBMCs 1_1378742",0.0956755493221131
"Group_PBMCs_Sample_PBMCs 1_1389148",0.00345956054230949
"Group_PBMCs_Sample_PBMCs 1_1410928",0.096236559139785
"Group_PBMCs_Sample_PBMCs 1_1488449",0.0743571762505844
"Group_PBMCs_Sample_PBMCs 1_1516087",0.152571294997662
"Group_PBMCs_Sample_PBMCs 1_1520931",0.120897615708275
"Group_PBMCs_Sample_PBMCs 1_1541717",0.0111266947171575
"Group_PBMCs_Sample_PBMCs 1_1555817",0.0915381019167835
"Group_PBMCs_Sample_PBMCs 1_1571261",0.0379149135109864
"Group_PBMCs_Sample_PBMCs 1_1606405",0.091304347826087
"Group_PBMCs_Sample_PBMCs 1_1612717",0.114820009350164
"Group_PBMCs_Sample_PBMCs 1_1692485",0.0355072463768116
"Group_PBMCs_Sample_PBMCs 1_1714601",0.138920056100982
"Group_PBMCs_Sample_PBMCs 1_1745940",0.0597475455820477
"Group_PBMCs_Sample_PBMCs 1_1752253",0.102010285179991
"Group_PBMCs_Sample_PBMCs 1_1759848",0.0496961196820944
"Group_PBMCs_Sample_PBMCs 1_1778863",0.11986909770921
"Group_PBMCs_Sample_PBMCs 1_1829965",0.0791491351098644
"Group_PBMCs_Sample_PBMCs 1_1839318",0.0881252921926134
"Group_PBMCs_Sample_PBMCs 1_1846775",0.100748013090229
"Group_PBMCs_Sample_PBMCs 1_1867577",0.0786816269284712
"Group_PBMCs_Sample_PBMCs 1_1871190",0.0390836839644694
"Group_PBMCs_Sample_PBMCs 1_1874792",0.0891304347826087
"Group_PBMCs_Sample_PBMCs 1_1896842",0.0702898550724638
"Group_PBMCs_Sample_PBMCs 1_1899585",0.066713417484806
"Group_PBMCs_Sample_PBMCs 1_1961475",0.000607760635811127
"Group_PBMCs_Sample_PBMCs 1_1961710",0.117484805984105
"Group_PBMCs_Sample_PBMCs 1_1967598",0.0636746143057503
"Group_PBMCs_Sample_PBMCs 1_1978193",0.137844787283777
"Group_PBMCs_Sample_PBMCs 1_1980284",0.100350631136045
"Group_PBMCs_Sample_PBMCs 1_1981752",0.120266479663394
"Group_PBMCs_Sample_PBMCs 1_1988983",0.0970780738662927
"Group_PBMCs_Sample_PBMCs 1_1989596",0.142870500233754
"Group_PBMCs_Sample_PBMCs 1_2034439",0.409630668536699
"Group_PBMCs_Sample_PBMCs 1_2057228",0.092052360916316
"Group_PBMCs_Sample_PBMCs 1_2102492",0.072463768115942
"Group_PBMCs_Sample_PBMCs 1_2149553",0.108345021037868
"Group_PBMCs_Sample_PBMCs 1_2187461",0.146984572230014
"Group_PBMCs_Sample_PBMCs 1_2201468",0.11505376344086
"Group_PBMCs_Sample_PBMCs 1_2259188",0.0550490883590463
"Group_PBMCs_Sample_PBMCs 1_2259878",0.0783309957924264
"Group_PBMCs_Sample_PBMCs 1_2293018",0.0875876577840112
"Group_PBMCs_Sample_PBMCs 1_2314538",0.114983637213651
"Group_PBMCs_Sample_PBMCs 1_2332898",0.0699859747545582
"Group_PBMCs_Sample_PBMCs 1_2373532",0.0765310892940626
"Group_PBMCs_Sample_PBMCs 1_2375000",0.0852267414679757
"Group_PBMCs_Sample_PBMCs 1_2382445",0.214446002805049
"Group_PBMCs_Sample_PBMCs 1_2425365",0.0522907900888266
"Group_PBMCs_Sample_PBMCs 1_2441671",0.0770219728845255
"Group_PBMCs_Sample_PBMCs 1_2454072",0.0415614773258532
"Group_PBMCs_Sample_PBMCs 1_2557592",0.0712482468443198
"Group_PBMCs_Sample_PBMCs 1_2561951",0.0699859747545582
"Group_PBMCs_Sample_PBMCs 1_2586703",0.111033193080879
"Group_PBMCs_Sample_PBMCs 1_2595960",0.0316970546984572
"Group_PBMCs_Sample_PBMCs 1_2614523",0.05205703599813
"Group_PBMCs_Sample_PBMCs 1_2630066",0.0747545582047686
"Group_PBMCs_Sample_PBMCs 1_2637500",0.0802244039270687
"Group_PBMCs_Sample_PBMCs 1_2642664",0.0306685366993922
