Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IL24,1365.2584826997888,-2.0958411411283944,0.31150250970440657,-6.728167754144892,1.718127765424931e-11,1.6031563824552462e-08
GJB2,470.7406988109986,-1.9957629801018244,0.9870818554592223,-2.0218819432896282,0.04318854960550112,0.36916148078220484
CCL24,93.73237308342705,-1.9556037620781448,0.8009090144196482,-2.4417302425984144,0.014617064255862037,0.20613006104897635
FOS,1521.291447506312,-1.9054031758946754,0.28311691483925366,-6.730093032330877,1.6955464219766632e-11,3.1031563824552462e-08
SGPP2,899.987548056003,-1.7771044531054052,0.228243971865572,-7.785986366168128,6.917140962748125e-15,1.549024547197815e-7
KLF4,174.03626605537286,-1.7287520300677028,0.29338157032580203,-5.892503841151007,3.803872509706585e-09,1.521141446113737e-06
CXCL16,1592.5656354332302,-1.6796702392243454,0.261632678555995,-6.419955826981529,1.3631389377132967e-10,9.539416678484865e-07
TMEM176A,114.34816557195374,-1.6746578367916571,1.464891107151208,-1.1431961246924252,0.2529571709157403,0.7313716565609386
CHST2,114.13281457336525,-1.6232413621588295,0.28574128822535594,-5.680807881283945,1.3405999546798867e-08,5.003565897516898e-06
G0S2,491.8966975817086,-1.5897779616202257,1.0528246677815705,-1.5100120753915094,0.13104034297776804,0.5959049501734369
MARCKS,2231.9277367556338,-1.527870531975806,0.22458783745521585,-6.8029976568988175,1.0246431553391641e-11,1.1472929410332621e-07
FPR1,121.3467580021698,-1.4667731697627637,0.41432473637040357,-3.5401535100513004,0.0003998943533761516,0.018656737811469874
TTC39B,96.2484265388489,-1.456912730150201,0.4222447304947847,-5.108205205125329,3.252333316934212e-07,7.748165138236676e-05
PTGIR,124.10253489420704,-1.4297726795374335,0.37386458392521105,-3.8243062889943307,0.00013114080510963623,0.008587038566155537
MPEG1,545.4926910119657,-1.4229588990377746,0.31742926010662964,-4.482759083267181,7.368410014976934e-06,0.0008684640730283866
PTX3,117.63820353003912,-1.4061511829993014,0.27802533647908356,-5.0576368355733985,4.244838288604231e-07,9.699888636224812e-05
PTAFR,303.0374753865777,-1.397768741419451,0.5649002483059592,-2.474363829031983,0.01334736920517477,0.1968383621022969
ITGA1,151.02050426580368,-1.3694206779206037,0.22845055540377804,-5.9943854174493145,2.042564227981998e-09,8.796381407967088e-07
VNN2,190.0361879466769,-1.3575702349454655,0.6419642535495199,-2.1147131284012297,0.034454404749412915,0.329168916364485
SIGLEC9,298.83112563045415,-1.3356241900509547,0.30380903636538803,-4.396262224552837,1.1013087799338949e-05,0.0012209261791009723
JUN,787.8624488146348,-1.3232752536754908,0.18133923819456754,-7.297236201332694,2.937388766355172e-13,4.1112427521098574e-7
GRK3,169.63185875480733,-1.3111316747611632,0.2384612534416128,-5.498300691781751,3.834686339102723e-08,1.2267709411123769e-05
DUSP1,1380.8898367495924,-1.30720091312936,0.24792165433477523,-5.2726371023815926,1.3447730714180382e-07,3.5851009715875646e-05
HLA-DRB5,505.15601933998704,-1.2997113945213812,0.8955479513321953,-1.4513029621562556,0.14669551683634283,0.6191558913456853
LILRB2,345.3447939209293,-1.294616500600468,0.29668651045119226,-4.363583968248683,1.2794879753885436e-05,0.0013573643884277863
POU2F2,462.280616978783,-1.2937809370308606,0.2950448196105649,-4.385031869864877,1.159687985998814e-05,0.0012485602287719924
ATP2B1-AS1,145.43219160262814,-1.2780956502568068,0.3565938524553606,-3.5841774653611065,0.0003381421264704857,0.016390378312078045
SNHG5,181.44507984312827,-1.2284213302183529,0.19619916272696702,-6.261093641504668,3.8228686735129147e-10,2.2528768703854792e-07
ADA,2761.549666607078,-1.223084327488524,0.16424891737734157,-7.446529006207323,9.582797509941711e-14,1.5328369102688193e7
RGS2,111.37096878635008,-1.1918485698777503,0.3353334450182099,-3.5542192035543256,0.0003791030950251404,0.017910621751040072
CRIM1,292.2416781528968,-1.1730881854657829,0.216449494369616,-5.419685496989799,5.970397295525031e-08,1.8569594032776048e-05
PLXNC1,272.39149633723406,-1.1551264444736629,0.2475589639645437,-4.666065918094182,3.070212427695518e-06,0.0004711874472998818
C3AR1,165.77198177035595,-1.1292597685631336,0.8999996784659087,-1.254733524447486,0.20957551146796494,0.6924216588689299
TMEM176B,129.25566392382862,-1.1167319618189249,1.5245056411184157,-0.7325207147148777,0.4638508039715349,0.871889397019341
RASSF2,349.3199094761244,-1.1126180465285735,0.20670641027435147,-5.382600593043288,7.341732337398695e-08,2.163299394259294e-05
LRRC25,213.27915972867228,-1.0931504567918018,0.3087640295280892,-3.540407405819124,0.00039950979526310286,0.018656737811469874
AATK,98.13557434543884,-1.0918049353857333,0.3650909827919404,-2.9905009623530905,0.0027852025168455105,0.07269443492102373
LILRB1,361.9213703346514,-1.089361835610911,0.5531523309713716,-1.9693704150137457,0.04891057053091648,0.3965616641815147
GAS7,688.3866577558229,-1.0808819611652685,0.2611281307187524,-4.139278132119096,3.484003573567456e-05,0.0030960625407329212
